Date,Open,High,Low,Close,Adj Close,Volume,CloseLong,CloseShort,OpenLong,OpenShort,HighLong,HighShort,LowLong,LowShort
03/02/2020,72.524002,72.905998,72.503998,72.531998,72.531998,0,66,34,67,33,67,34,66,33
04/02/2020,72.656143,73.662003,72.518997,72.658997,72.658997,0,70,30,66,34,74,35,65,26
05/02/2020,73.677002,74.323997,73.544998,73.667999,73.667999,0,67,33,68,32,71,36,64,29
06/02/2020,74.129997,74.367996,73.983002,74.120003,74.120003,0,63,37,67,33,69,38,62,31
07/02/2020,74.014999,74.017197,73.055,74.027,74.027,0,60,40,61,39,61,48,52,39
09/02/2020,#N/A,,,,,,59,41,60,40,60,41,59,40
10/02/2020,73.110001,73.660004,73.110001,73.151001,73.151001,0,60,40,58,42,63,42,58,37
11/02/2020,73.406082,73.987,73.338997,73.431,73.431,0,68,32,61,39,68,39,61,32
12/02/2020,73.796997,74.278,73.718002,73.791,73.791,0,68,32,68,32,71,33,67,29
13/02/2020,73.741997,74.066002,73.68,73.730003,73.730003,0,62,38,68,32,68,41,59,32
14/02/2020,73.772003,73.969002,73.660004,73.736,73.736,0,62,38,59,41,62,41,59,38
16/02/2020,#N/A,,,,,,63,37,62,38,63,38,62,37
17/02/2020,73.818001,73.943001,73.677002,73.837997,73.837997,0,62,38,62,38,63,39,61,37
18/02/2020,73.660004,73.672997,73.190002,73.68,73.68,0,56,44,62,38,62,45,55,38
19/02/2020,73.587997,74.253998,73.419998,73.550003,73.550003,0,64,36,58,42,65,44,56,35
20/02/2020,74.291,74.394997,73.802002,74.293999,74.293999,0,60,40,65,35,65,41,59,35
21/02/2020,74.031998,74.283997,73.452003,74.037003,74.037003,0,65,35,59,41,65,43,57,35
23/02/2020,#N/A,,,,,,65,35,65,35,66,35,65,34
24/02/2020,73.681,73.892998,73.073997,73.695999,73.695999,0,64,36,63,37,65,40,60,35
25/02/2020,73.290001,73.475998,72.613998,73.292,73.292,0,67,33,64,36,67,40,60,33
26/02/2020,72.828003,72.989998,72.344002,72.841003,72.841003,0,65,35,67,33,67,36,64,33
27/02/2020,72.264,72.519997,72.010002,72.248001,72.248001,0,70,30,65,35,70,38,62,30
28/02/2020,72.153999,72.164001,69.426003,72.153,72.153,0,81,19,69,31,81,31,69,19
01/03/2020,#N/A,,,,,,80,20,81,19,83,20,80,17
02/03/2020,70.197998,71.190002,69.853996,70.168999,70.168999,0,77,23,78,22,79,27,73,21
